CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0806-030821-kkaupssy   False            5                73.92                 73.92          0.66                   69.20                    69.20                               22.19                            0.89
0801-072808-c6wg9b0y   False           20                73.76                 92.14          0.71                   56.61                    68.32                              209.41                           55.33
0806-101750-m9216n82   False            5                73.66                 73.66          1.54                   65.64                    65.64                                5.08                            0.61
0806-052016-5jg2sd8y   False            5                73.61                 73.61          0.60                   69.35                    69.35                                6.04                            0.84
0806-044053-35nscjyq   False            5                72.97                 72.97          0.12                   67.67                    67.67                                5.00                            0.69
0807-133357-rewylidu   False           17                72.74                 91.89          0.31                   56.36                    68.40                              182.70                           48.12
0806-174056-yael2wb6   False            5                72.53                 97.14          0.17                   55.19                    69.07                               53.81                           49.72
0806-001328-aw52ueqa   False           16                72.52                 90.25          0.47                   57.11                    60.60                              200.28                           52.92
0806-065320-cbfjl8pe   False            5                72.49                 72.49          0.50                   70.81                    70.81                                3.90                            0.89
0806-005852-8tws61aq   False            5                72.49                 72.49          0.08                   68.93                    68.93                                5.11                            0.64
0806-091843-043hc4r6   False            5                72.45                 72.45          0.53                   71.34                    71.34                                3.34                            0.71
0805-063535-ntxqnl7m   False           19                72.41                 94.19          0.67                   58.97                    65.79                              202.80                           53.35
0806-011702-qsjv6fpu   False            5                72.21                 72.21          0.12                   70.21                    70.21                                2.39                            0.80
0806-093555-eu1cjlsy   False            5                72.11                 72.11          2.61                   67.18                    67.18                                3.13                            0.56
0806-012636-w8od4g7m   False            5                71.91                 71.91          0.59                   70.24                    70.24                                2.94                            0.82
0806-080226-u1sz8a36   False            5                71.64                 71.64          0.19                   70.92                    70.92                               20.94                            0.81
0805-222900-m7qew8b6   False            5                71.53                 71.53          2.08                   64.99                    64.99                                3.07                            0.64
0805-234122-ktldw26q   False            5                71.40                 71.40          0.66                   71.53                    71.53                                1.93                            0.46
0802-041737-xevnu6mq   False            5                71.36                 96.69          0.20                   70.74                    71.77                               43.72                            0.99
0804-172028-bkt7e7f6   False            5                71.34                 95.23          0.18                   56.10                    70.73                               46.93                           42.27
0804-215029-n17lzpjm   False            5                70.93                 94.10          0.30                   76.18                    78.29                               83.14                           49.67
0804-170157-nqdzp82a   False           33                70.48                 98.72          0.24                   44.14                    80.73                              428.71                          289.63
0805-234103-4qzwld8y   False            5                70.41                 70.41          0.09                   51.33                    51.33                               29.27                            0.67
0807-232921-ygahi6tu   False            5                70.18                 96.99          0.15                   68.09                    68.39                                1.38                            0.47
0807-233551-cwi1ehaq   False          143                70.04                 97.18          5.92                   40.73                    68.48                             2158.89                         2153.12
0806-030826-rhrhsnpu   False            5                69.55                 69.55          0.56                   71.56                    71.56                                2.16                            0.60
0806-093516-ehnq8utu   False            5                69.18                 69.18          0.24                   70.64                    70.64                                3.70                            0.75
0805-151441-wsp0ta1e   False           15                68.96                 91.63          1.16                   54.78                    57.85                              178.94                           47.15
0801-201641-5wq0pkaq    True            5                68.41                 76.90          0.37                   49.86                    49.99                              582.14                            4.07
0801-070517-5cq1gw7m   False            5                68.26                 89.04          0.88                   73.77                    75.50                               50.54                           44.61
0801-190116-nh7n3hua   False            5                68.07                 87.12          0.68                   71.68                    73.90                               53.24                           47.49
0806-092552-a646qbrm   False            5                67.92                 67.92          0.08                   69.46                    69.46                                5.22                            0.63
0803-182349-lo9xwfma   False            5                67.89                 81.18          0.97                   53.33                    67.59                               51.76                           47.43
0805-232618-5rdko7bm   False            5                67.75                 67.75          0.60                   69.87                    69.87                                2.46                            0.48
0805-192221-be0ov576    True            5                67.73                 82.43          0.27                   52.68                    52.84                              503.68                            3.32
0802-090530-knopgumq   False            5                67.72                 91.69          0.19                   55.24                    69.32                               57.71                           47.73
0807-190139-thu6y2oi   False            5                67.44                 95.01          1.38                   51.19                    62.08                                1.31                            0.41
0806-061839-bgree976    True          257                67.40                 99.75          0.04                   61.12                    73.85                                2.62                            9.14
0806-091116-3dew2fpu   False            5                67.40                 67.40          0.32                   70.21                    70.21                                2.40                            0.50
0807-133356-exprmfpu   False           12                67.29                 88.46          0.38                   56.99                    60.00                              158.15                           41.90
