CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0806-030741-9e3dcll2   False            5                28.51                 28.51          0.54                   48.27                    48.27                               46.38                            0.74
0806-231224-tpu2kiqa   False            5                28.50                 49.94          0.73                   50.27                    63.69                                0.97                            0.54
0807-174524-kzubtxxu    True            7                28.49                 54.72          0.07                   28.97                    29.79                                0.65                            1.40
0801-213158-7fq1aiaa   False            5                28.49                 70.29          0.15                   56.84                    71.49                                1.15                            0.57
0802-123238-sezisrgy   False            5                28.48                 53.86          0.69                   49.66                    62.61                                6.04                            0.56
0806-082237-9eeexq1e   False            5                28.47                 48.97          1.02                   50.19                    63.46                                0.82                            0.40
0804-164126-a7evr4sy   False            5                28.47                 78.52          0.15                   55.30                    71.56                                1.12                            0.45
0801-142821-pkda72tu   False            5                28.47                 66.98          0.49                   55.29                    69.44                                1.41                            0.66
0808-033102-fqeis3rm   False            5                28.46                 32.00          0.09                   55.55                    70.69                               17.81                           14.69
0807-070733-wa35wxsi   False            5                28.46                 31.43          0.12                   56.28                    71.67                               16.75                           14.18
0806-194259-85qxs74i   False            5                28.46                 81.29          0.15                   56.89                    71.16                                0.77                            1.06
0805-185947-d3mm9vyq   False            5                28.45                 52.59          0.68                   50.53                    64.43                                1.13                            0.44
0803-133212-0t1xf1ua   False            5                28.44                 31.50          0.12                   55.47                    70.55                               19.57                           16.81
0801-172623-gut0kb82   False            5                28.43                 75.11          0.23                   54.07                    67.62                                1.55                            1.31
0804-193305-k9coy2aa   False            5                28.43                 33.44          0.77                   67.17                    67.60                                5.20                            0.57
0803-120055-kp8kgyly   False            5                28.42                 58.05          0.92                   55.74                    69.59                                1.26                            0.63
0803-100233-ul511zpu   False            5                28.42                 61.06          0.34                   56.03                    70.27                                1.52                            0.57
0804-234235-2o4usyly   False            5                28.40                 50.20          0.78                   50.53                    63.57                                1.14                            0.43
0805-104557-4qv7ebde   False            5                28.39                 75.63          0.19                   55.55                    69.98                                1.36                            0.54
0807-215739-cprd9ceq   False            5                28.39                 30.97          0.17                   57.11                    73.26                               17.56                           14.38
0805-172131-pilyewwi    True            6                28.39                 39.84          0.07                   29.39                    29.97                                0.67                            1.27
0801-032615-c6bo2rli   False            5                28.38                 41.44          0.47                   55.40                    69.15                                1.27                            1.27
0806-011841-kqjezuoi   False            5                28.37                 47.01          0.79                   51.44                    65.69                                1.41                            0.54
0803-225802-z8u9pgcy   False            5                28.36                 70.90          0.15                   55.43                    69.67                                1.64                            0.57
0807-040245-fduxijgy   False            5                28.36                 32.02          0.46                   54.41                    69.61                               22.87                           21.93
0805-171201-bnek48b6   False            5                28.34                 79.42          0.28                   56.25                    70.85                                1.05                            1.11
0807-135129-nq6mnbiq   False            5                28.34                 76.21          0.29                   56.56                    70.92                                0.83                            0.51
0802-053835-log5a0wi   False            5                28.33                 74.84          0.56                   55.07                    69.66                               13.92                            0.56
0805-135653-4wys4zde   False            5                28.32                 48.66          0.77                   53.46                    67.41                                1.08                            0.52
0802-045927-uzxlf9xu   False            5                28.31                 71.93          2.20                   54.30                    68.62                               13.78                            1.41
0801-062826-4jkayo0i   False            5                28.30                 79.62          0.21                   56.61                    71.09                                1.12                            1.39
0803-163935-49h30efm   False            5                28.29                 76.14          0.07                   54.68                    68.49                                3.11                            1.13
0806-224556-cy5ut0ya   False            5                28.29                 74.66          0.15                   57.57                    72.24                                0.92                            1.25
0801-172753-oou3so42   False            5                28.29                 74.16          0.09                   55.23                    69.14                                6.24                            1.29
0807-130602-9e0bsily   False            5                28.29                 62.60          0.34                   52.95                    67.19                                1.11                            1.57
0803-181145-ka6k55hu   False            5                28.28                 61.35          0.85                   50.91                    64.10                                6.42                            0.51
0804-182910-1154ihaq   False            5                28.26                 51.57          1.35                   51.19                    65.29                                1.17                            0.54
0806-075149-j20tl176   False            5                28.26                 77.03          0.17                   56.74                    71.23                                1.02                            1.41
0801-230055-8m8344r6   False            5                28.26                 54.01          0.95                   50.09                    63.90                                9.36                            0.49
0802-073200-7edx3cpe   False            5                28.25                 31.87          0.57                   55.83                    71.10                                0.67                            1.42
0801-044722-52yff0nm    True           17                28.24                 38.64          0.04                   17.23                    17.63                               47.46                          196.67
0806-081241-4e2k5xxu   False            5                28.24                 56.79          0.71                   52.48                    67.24                               13.94                            0.53
0805-040317-8jw9hnv6   False            5                28.24                 32.01          1.01                   52.50                    68.00                               23.69                           20.58
0807-031654-qsuwy5g2   False            5                28.23                 73.95          0.35                   53.75                    68.05                                0.76                            0.52
0804-041447-o4rmhqtu   False            5                28.22                 74.44          0.20                   55.97                    70.80                                0.86                            0.51
0802-111051-31s9cro2   False            5                28.22                 31.74          0.10                   55.10                    70.51                               15.29                           12.11
0803-080058-ne6agpoy   False            5                28.22                 72.00          0.21                   54.12                    69.16                                1.36                            1.35
0807-090156-bs699zbm   False            5                28.21                 50.11          0.66                   49.43                    62.93                                0.91                            0.53
0803-072505-gxub0efm   False            5                28.21                 71.15          0.27                   55.08                    69.00                                1.29                            0.56
0806-231212-trwapouq   False            5                28.20                 46.73          0.75                   50.43                    64.90                                0.90                            0.50
0805-053228-p8iv2m8i   False            5                28.19                 76.74          0.26                   56.45                    70.97                                1.39                            0.62
0807-040618-xe03gzrm   False            5                28.19                 76.24          0.42                   54.40                    68.48                                0.84                            0.49
0806-023213-64gw05jm   False            5                28.17                 64.85          2.14                   54.26                    69.15                                1.21                            0.61
0807-183318-17u4r9ci   False            5                28.15                 42.97          1.44                   53.40                    67.99                                0.94                            0.44
0802-145601-1fo00u1e   False            5                28.15                 54.88          0.75                   49.99                    63.18                                5.54                            0.54
0801-013504-realbggi   False            5                28.14                 57.30          0.65                   65.35                    65.81                                4.90                            0.42
0808-061643-b36r7guq   False            5                28.13                 48.74          0.45                   54.93                    68.58                                1.02                            0.61
0806-230320-v044fswi   False            5                28.12                 29.77          0.29                   54.05                    68.20                                5.31                            1.35
0801-110527-w7pby042   False            5                28.08                 65.82          0.11                   56.12                    70.35                                1.40                            1.36
0801-112322-sgbbxwya   False            5                28.07                 80.72          0.42                   68.30                    68.49                                4.15                            0.49
0804-173956-dipfjs42   False            5                28.07                 66.90          0.61                   52.28                    65.80                                2.33                            1.33
0804-084347-swprm32q   False            5                28.07                 29.88          0.13                   74.25                    75.08                               19.33                            0.75
0802-144006-dmpub6ly   False            5                28.06                 71.63          0.71                   52.91                    67.96                                1.47                            0.72
0804-092333-rckpjdhu   False            5                28.06                 77.08          0.43                   53.09                    66.69                                1.04                            0.50
0801-183822-4cahf8ya   False            5                28.06                 79.27          0.32                   53.28                    67.73                                1.15                            0.45
0801-230407-1hkuhm36   False            5                28.05                 54.17          0.74                   50.46                    64.43                                1.32                            0.51
0802-232105-al6sgi6q   False           32                28.05                 33.53          0.07                   23.54                    24.19                                2.11                            0.85
0806-170143-p8iedq8i   False            5                28.04                 54.81          0.13                   53.01                    66.46                                1.71                            0.59
0805-173111-whmi1t76   False            5                28.04                 66.41          0.07                   54.83                    69.80                                1.21                            0.59
0803-011744-nwdelb9u   False            5                28.02                 82.10          0.19                   57.30                    73.07                                0.95                            1.48
0804-190458-cnpo42z6   False            5                28.01                 45.44          0.74                   48.90                    61.04                                1.47                            0.58
0802-083548-h0p5376a   False            5                28.01                 59.36          1.14                   51.02                    65.35                                1.16                            1.63
0801-011308-8x5qr7de   False            5                28.01                 60.87          0.18                   53.53                    68.38                                1.03                            0.46
0807-205729-pju413iq   False            5                28.00                 32.02          1.05                   69.44                    69.87                                1.54                            0.53
0805-164133-obhkvor6   False            5                28.00                 31.46          0.09                   55.94                    71.46                               12.75                            6.29
0802-025635-undgjkke   False            5                27.98                 72.95          0.73                   55.76                    69.54                                1.37                            0.52
0801-233836-4yzjbf2q   False            6                27.97                 35.46          0.90                   53.33                    68.40                               10.38                           30.94
0804-095341-obnq7z82   False            5                27.96                 77.93          0.21                   53.46                    68.05                                1.18                            1.33
0803-223954-rhq42fpu   False            5                27.94                 67.03          0.05                   54.58                    68.26                                4.41                            0.58
0802-134733-lv46q0pe   False            5                27.94                 50.66          0.24                   52.84                    69.62                                6.61                            0.63
0806-224459-qzzdtqfm   False            5                27.93                 31.22          0.09                   56.14                    72.52                               23.31                           21.18
0801-221802-6hcxfaj6   False            5                27.93                 78.39          0.18                   55.59                    70.73                                1.19                            0.50
0806-104932-4yxcim1e   False            5                27.93                 27.93          0.14                   51.49                    51.49                                1.93                            1.77
0802-173535-bjqowvma   False            5                27.92                 61.99          0.18                   50.37                    68.39                                1.31                            0.66
0806-031653-8m8hphxu   False            5                27.92                 52.66          0.16                   52.89                    67.07                                3.66                            0.67
0805-002304-y9zfp4wi   False            5                27.91                 48.53          0.26                   50.53                    68.40                                1.30                            0.83
0804-022926-t25x7t3m   False            5                27.91                 76.63          0.15                   52.08                    66.27                                1.08                            1.42
0806-211829-tb9f8ob6   False            5                27.91                 75.22          0.18                   55.29                    69.27                                0.74                            0.64
0806-015605-s3xqglya   False            5                27.90                 27.90          0.05                   52.44                    52.44                                0.18                            1.05
0801-011512-ayj2fu36   False            5                27.90                 30.86          0.23                   49.67                    66.32                                0.64                            0.66
0803-050335-mdu0vv9u   False            5                27.90                 37.82          0.12                   54.88                    69.06                                7.54                            1.79
0806-101636-8lmzv6z6   False            5                27.89                 30.91          0.15                   72.39                    72.91                               20.87                           13.69
0805-195538-nts4vnde   False            7                27.89                 36.81          0.79                   59.85                    72.12                                1.75                            2.13
0805-133638-webni42a   False            5                27.88                 75.02          0.76                   66.81                    67.27                                1.32                            0.35
0806-023006-606zwu8i   False            5                27.87                 31.06          0.12                   56.29                    71.90                               14.71                            6.31
0802-103104-bjsc92c2   False            5                27.87                 53.43          0.06                   55.10                    69.64                                2.26                            0.62
0804-135452-l4kwylgi   False            5                27.87                 31.06          0.27                   54.06                    70.94                                0.61                            0.53
0801-120950-xrbf0nwy   False            5                27.87                 67.13          0.09                   53.14                    67.78                                1.47                            0.57
0806-005805-0p0mf6du   False            5                27.86                 79.30          0.19                   56.58                    71.87                                0.80                            0.49
0801-055904-p40owoia   False            5                27.86                 40.54          0.67                   52.70                    65.60                               11.40                            2.03
0808-004047-p9hr7nyq   False            5                27.86                 67.06          0.27                   54.54                    68.96                                1.07                            0.76
0804-203944-yntdmn82   False            5                27.83                 50.36          0.06                   50.62                    69.11                                1.30                            0.56
0808-063752-3od5d0cy   False            5                27.82                 67.92          0.21                   54.20                    68.62                                0.89                            1.26
0806-210157-25xm8e8i   False            5                27.81                 66.75          0.12                   54.60                    68.71                                1.04                            0.49
0804-224249-flow5onm   False            5                27.81                 70.30          0.14                   54.58                    68.97                                0.99                            1.23
0805-043243-2z4m0lya   False            5                27.81                 73.16          0.52                   53.68                    69.67                                2.23                            1.60
0807-210148-1ulefvo2   False            5                27.78                 33.35          0.09                   68.59                    69.13                                3.17                            0.68
0807-100049-fythzi8i   False            5                27.76                 31.26          0.15                   55.81                    72.18                               24.49                           22.57
0805-092610-hj5wfyfm   False            5                27.73                 66.35          0.09                   56.24                    70.84                                1.62                            0.63
0801-053400-sviagkqq   False            5                27.73                 74.17          0.53                   54.59                    68.54                                1.10                            0.70
0805-235140-zy6jhxqq   False            5                27.71                 74.36          0.20                   55.05                    69.80                                0.92                            1.22
0802-104611-09876jo2   False            5                27.71                 73.52          0.15                   55.26                    68.33                                0.89                            0.53
0806-040410-xav8v4eq   False            5                27.69                 52.96          0.74                   51.72                    66.49                                1.29                            0.55
0807-101820-hv4ds1ke   False            5                27.69                 56.22          0.13                   55.15                    68.97                                1.90                            1.47
0801-205026-7i17kl42   False            5                27.67                 71.85          0.24                   54.30                    68.01                                1.39                            0.56
0804-080618-9t6llw7m   False            5                27.66                 49.84          0.89                   49.98                    64.65                                8.37                            0.50
0806-025310-44oc5dke   False            5                27.66                 72.34          0.19                   55.14                    69.67                               11.25                            1.30
0806-112603-zcc66lnm   False            5                27.66                 72.31          0.13                   54.31                    68.90                                0.92                            1.23
0806-020234-h2nwq7f6   False            5                27.63                 27.63          0.72                   48.06                    48.06                                0.24                            1.03
0804-153515-vbqabnyq   False            5                27.63                 32.40          0.11                   69.66                    70.22                                2.83                            0.60
0803-005928-d0b60l5u   False            5                27.62                 63.72          0.11                   55.59                    70.33                                1.12                            0.58
0801-231103-ebe0tngy   False            5                27.61                 30.62          0.11                   57.71                    73.14                                8.17                            4.33
0807-101948-4bgbmgia   False            5                27.61                 64.91          0.09                   52.81                    67.30                                0.87                            1.38
0806-133346-rg8ka42a   False            5                27.59                 61.30          0.56                   50.49                    64.10                                0.97                            0.47
0801-211117-s0fosgsy   False            5                27.58                 55.71          0.83                   51.81                    65.99                                6.45                            0.50
0804-165154-6wjtexw2   False            5                27.58                 49.35          0.60                   52.96                    67.54                                2.38                            0.58
0801-131033-mcfaozli   False            5                27.56                 77.45          0.31                   54.14                    69.38                                1.33                            0.56
0805-102325-03v1gw7m   False            5                27.56                 50.63          0.74                   52.36                    66.19                               11.27                            0.50
0802-123856-a0o1cf0y   False            5                27.55                 79.27          0.22                   56.45                    71.27                                0.87                            0.51
0802-073535-hkuii0b6   False            5                27.54                 71.28          0.20                   54.43                    69.94                               13.24                            1.37
0804-040825-m8k6naqa   False            5                27.54                 67.91          0.28                   52.36                    65.82                                1.46                            0.73
0803-062433-848xmluq   False            5                27.52                 67.51          0.27                   68.00                    68.22                                0.94                            0.62
0805-144928-rt4rfx1u   False            5                27.52                 53.46          0.17                   52.85                    67.92                                1.54                            0.52
0804-050010-0mupnt3m   False            5                27.50                 30.94          0.29                   56.35                    72.63                                8.59                            6.07
0802-220029-csh1h9n6   False            5                27.49                 30.55          0.33                   53.19                    69.13                                0.70                            1.79
0801-201305-7feg7vo2   False            5                27.48                 74.55          0.17                   53.98                    69.29                                1.32                            0.46
0807-210133-6524jj82   False            7                27.47                 42.12          0.12                   73.23                    74.80                                1.62                            0.51
0802-142031-017k2tqq   False            5                27.46                 72.66          0.08                   53.90                    68.41                                1.27                            0.60
0803-111721-416onb4i   False            5                27.46                 34.31          0.74                   50.45                    64.15                                3.51                            0.74
0806-140521-2bhknjma   False            5                27.45                 70.12          0.18                   54.32                    68.96                                0.82                            0.56
0806-095418-ymnyoaaa    True            7                27.45                 27.78          0.04                   41.69                    43.21                                0.94                            1.66
0807-095750-4jddrpqq    True           16                27.44                 40.37          0.04                   19.47                    19.60                               49.24                          228.05
0806-231407-u50huhaq   False            5                27.44                 71.05          0.27                   54.09                    69.07                                0.84                            1.08
0805-053522-zpywudjm   False            5                27.44                 74.38          0.19                   54.24                    69.82                                2.62                            0.44
0805-061850-n51pzbwy   False            5                27.42                 58.82          0.25                   51.37                    70.60                                1.30                            0.56
0807-175550-pl5e213m   False            7                27.41                 41.03          0.36                   67.55                    68.87                                1.58                            0.57
0802-220622-6ivo6mmq   False            5                27.39                 30.79          2.15                   56.21                    72.35                               15.91                           12.18
0804-092005-dqni0aoi   False            5                27.39                 30.56          0.53                   56.71                    74.37                                0.63                            0.67
0807-144003-8ftizdaq   False            5                27.39                 30.51          1.07                   52.67                    68.28                               22.21                           19.99
0804-145310-plwzjd3m   False            5                27.38                 73.87          0.08                   69.44                    69.62                                0.76                            0.44
0804-205409-bcgkz0uq    True           10                27.38                 57.74          0.23                   44.29                    47.47                               27.10                            4.67
0805-125251-pkpsnq4y   False            5                27.38                 73.73          0.18                   56.83                    71.58                                1.33                            1.19
0808-025204-7grlo55e   False            5                27.37                 29.75          0.76                   55.18                    72.87                                0.63                            0.80
0802-050640-4mg501ea   False            5                27.36                 64.50          0.20                   68.44                    68.68                                1.10                            0.38
0807-162848-qgpaopaq   False            5                27.36                 58.54          0.18                   53.27                    67.59                                1.00                            0.51
0806-135014-q809vlsy   False            5                27.35                 61.57          0.24                   53.47                    66.94                                1.00                            0.57
0803-025030-t7ia2ihe   False            5                27.35                 57.17          0.74                   49.61                    62.29                                1.46                            0.52
0802-130422-i8w2aa6q   False            5                27.35                 78.38          0.22                   55.81                    70.83                                0.82                            0.59
0801-080653-cac1k7v6   False            5                27.34                 57.75          0.72                   50.03                    64.81                                1.09                            0.50
0807-044230-qtwdge1e   False            5                27.34                 68.80          0.15                   53.05                    67.61                                0.88                            0.47
0806-012855-gcurqas2   False            5                27.33                 66.12          0.07                   55.35                    69.59                                8.82                            1.59
0805-223844-cia0pdea   False            5                27.32                 27.32          0.56                   46.95                    46.95                                3.03                            2.01
0801-153206-vawl3pjm   False            5                27.30                 67.75          0.09                   56.89                    71.18                                0.95                            0.59
0806-081623-p1b4nlku   False            5                27.28                 27.28          0.10                   69.67                    69.67                                2.42                            0.73
0806-120148-cgfeom4y   False            5                27.26                 44.31          1.01                   53.84                    67.96                                0.93                            0.47
0806-060204-f2u3s0eq   False            5                27.26                 27.26          0.06                   53.24                    53.24                                1.54                            0.72
0801-215802-n50sl2z6   False            5                27.26                 69.08          0.97                   52.62                    66.68                                1.27                            0.61
0807-093920-wqwan4eq   False            5                27.25                 71.09          0.28                   53.94                    69.33                                0.67                            0.54
0805-023738-1fb5mosy   False            5                27.25                 30.81          0.10                   71.70                    72.95                               38.64                            0.69
0807-215810-sln9bdw2    True           16                27.25                 38.32          0.05                   18.95                    19.23                               45.51                          200.67
0731-135445-wjkbs6qa    True          308                27.24                 42.18          0.69                   84.40                    85.16                                5.63                           10.81
0804-040318-uyvz2xaq   False            5                27.24                 30.48          0.10                   56.16                    72.08                               16.10                           13.76
0804-182506-b6p08o42   False            5                27.21                 73.54          0.46                   68.47                    68.88                                0.72                            0.43
0808-023316-r7ecm7ma   False            5                27.20                 41.27          0.78                   50.43                    63.88                                0.99                            0.61
0806-151254-lmtauwwi   False            5                27.19                 66.47          0.18                   53.74                    67.80                                0.83                            0.55
0801-070328-51j92eqa   False            5                27.19                 29.77          0.23                   54.61                    70.97                                0.69                            1.32
0803-103516-zxzkxafm   False            5                27.18                 52.77          0.17                   51.63                    70.05                                0.96                            1.35
0802-210629-ne85o3de   False            5                27.18                 30.08          0.26                   54.59                    70.93                                0.62                            0.61
0802-063327-ircwhl42   False            5                27.17                 30.17          0.40                   55.89                    70.87                               11.86                            4.48
0806-075959-dodwk82a   False            5                27.16                 30.44          0.52                   57.29                    74.82                               15.96                            6.57
0802-151310-pf2fx2xe   False            5                27.14                 56.97          0.82                   50.54                    63.77                                0.89                            0.49
0805-044602-0ogfcwsy   False            5                27.14                 62.94          0.37                   53.90                    68.51                                1.07                            0.64
0802-193809-4sj8tvde   False            5                27.14                 30.57          0.66                   52.52                    69.39                                0.68                            1.47
0804-215034-0svh4c9e   False            5                27.12                 73.16          0.18                   55.27                    69.27                                0.97                            1.20
0805-001057-ohj80dg2   False            5                27.12                 65.36          0.20                   53.70                    68.46                                6.55                            0.73
0807-124924-6wf72jv6   False            5                27.11                 67.92          0.18                   69.21                    69.42                                0.62                            0.38
0802-220047-sg5emiaa   False            5                27.08                 46.63          1.10                   50.75                    63.88                                1.43                            0.57
0801-214556-n00jl00i   False            5                27.07                 74.58          0.22                   54.71                    68.38                                0.88                            1.21
0804-015758-zz451n2q   False            5                27.07                 61.15          0.42                   52.01                    66.84                                1.08                            0.43
0801-185736-q9ylg36a   False            5                27.05                 38.81          0.69                   50.73                    64.78                                1.19                            0.54
0807-133419-ejg9jq4y   False            5                27.03                 30.13          0.42                   55.08                    72.29                                0.63                            0.54
0803-235559-dqzd28eq   False            5                27.02                 66.12          0.63                   66.41                    66.61                                1.34                            0.47
0807-150738-ni5c4p3m   False            5                27.02                 68.19          0.10                   51.38                    65.75                                0.83                            0.66
0803-014733-cjyduexe   False            5                27.01                 62.24          0.27                   49.58                    67.94                                4.33                            0.58
0804-085748-7zhwdzbm   False            5                27.00                 51.77          0.79                   51.88                    65.98                                1.21                            0.51
0804-022450-yp17d72q   False            5                26.99                 52.40          0.40                   52.07                    66.64                                1.19                            0.59
0807-083016-4qkl6l9e   False            5                26.99                 61.09          0.13                   52.44                    66.87                                0.99                            0.59
0805-054605-jt4z5c7m   False            5                26.99                 60.87          0.09                   54.20                    69.35                                9.98                            1.26
0802-103104-v733qd5e   False            5                26.99                 67.84          0.39                   52.25                    66.76                                1.12                            0.63
0802-111729-txa5xedu   False            5                26.97                 59.49          0.24                   53.73                    68.38                                1.01                            1.50
0805-210342-sql7qqly   False            5                26.97                 61.31          0.50                   53.68                    68.28                                7.19                            0.53
0804-123551-e068vo5u   False            5                26.97                 63.70          0.21                   49.97                    65.26                                1.35                            0.59
0805-035456-vaxfy782   False            5                26.96                 58.82          0.17                   52.68                    67.05                                1.53                            0.48
0802-215307-rbsa9yc2   False            5                26.92                 69.35          0.32                   64.13                    64.38                                0.76                            0.40
0803-112805-ielto102   False            5                26.91                 58.72          0.40                   70.54                    70.76                                1.34                            0.48
0805-172156-en5jq8eq    True            6                26.91                 37.53          0.08                   30.03                    30.45                                0.85                            1.30
0804-101004-ogk6ir6a   False            5                26.91                 63.06          0.15                   54.67                    69.03                                1.46                            0.69
0801-232106-wl40icl2   False           32                26.90                 31.85          0.19                   23.36                    24.19                                2.20                            0.88
0802-124728-no3z85ci   False            5                26.89                 63.27          0.45                   54.22                    68.90                                1.19                            0.51
